dummy_celebrities,dummy_entertainment,dummy_entertainmentleisurebusiness,dummy_francepolitics,dummy_jeanlucmlenchon,dummy_nikosaliagas,dummy_politicalfigures,dummy_soccer,dummy_sports,dummy_sportsfitnessbusiness,dummy_staderennaisfc,dummy_tvhosts,dummy_tvstars,dummy_tweet_period_afternoon,dummy_tweet_period_morning,dummy_tweet_period_night,hashtags_count,impression_count,mentions_count,tweet_external_urls_count,tweet_length,tweet_medias_count,tweet_sentiment,tweet_text,followers_count
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,239,1,0,22,0,0.4939,@itselo1002 Max mara 🤣,3812
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,140,0,0.0,"RT @PartiAnimaliste: Une bonne nouvelle, même si chaque Français mange encore 100 grammes de viande par jour en moyenne. C’est le double de…",1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,0,26,0,0.6369,@LnBridget @AilesLivre 🙏♥️,1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,140,0,0.0,"RT @LnBridget: @AilesLivre @valerieperrin_ Magistral, fort, émouvant.  J'ai dévoré #changerleaudesfleurs ainsi que les 2 autres livres de V…",1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,132,0,0.0,"RT @PartiAnimaliste: Visiblement, Hervé Berville, secrétaire d'État chargé de la Mer, occupe un emploi fictif… #France #gouvernement",1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90,1,0,19,0,0.9729,@AilesLivre ♥️♥️♥️💓,1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,140,0,0.0,"RT @AilesLivre: Hello Twitter
Lecture en cours CHANGER L'EAU DES FLEURS de @valerieperrin_

Des avis ?

#changerleaudesfleurs https://t.co/…",1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,6,0,80,0,0.6369,@reynoldsmichael @PublishersWkly @tinakover @P_G_W @PGCBooks @EuropaEditions 🙏♥️,1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,140,0,0.6361,"RT @reynoldsmichael: “Phenomenal...powerful...brilliant.” @PublishersWkly 

“One of the most beautiful novels I have ever read."" @valeriepe…",1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,7,0,96,0,0.9274,@MarenBaudet @reynoldsmichael @PublishersWkly @tinakover @P_G_W @PGCBooks @EuropaEditions ♥️♥️♥️,1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,140,0,0.0,RT @MarenBaudet: @reynoldsmichael @PublishersWkly @valerieperrin_ @tinakover @P_G_W @PGCBooks @EuropaEditions Hands down one of the most ex…,1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,140,0,0.0,"RT @PartiAnimaliste: Quand on sait que la production de viande est un immense gaspillage d’eau, il serait sensé de prévoir une tarification…",1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,140,0,0.0,"RT @PartiAnimaliste: Ce n’est pas une mégaporcherie, juste un élevage familial dans lequel plus de 10 000 cochons sont entassés en même tem…",1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,140,0,-0.296,"RT @onevoiceanimal: Enfermement, ennui, exposition permanente, cohabitation forcée... Qui peut penser que ce tigre faisant les cent pas dan…",1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,140,0,0.25,"RT @PartiAnimaliste: Le rapport produit est un véritable manifeste pro-chasse, où l’on apprend que l’animal traqué a de la chance car il es…",1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,140,0,0.0,"RT @PartiAnimaliste: « Rejet de la demande. La chasse est une activité légitime vis-à-vis des animaux sauvages. » 
Voici la réponse ahuriss…",1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,140,0,0.0,"RT @hugoclement: Proposer une OPTION végétarienne à la cantine, pour les enfants qui le souhaitent, ça semble normal, n’est-ce pas ? 

Eh b…",1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,140,0,0.0,"RT @reelmediaoff: Tourterelles, Vautours fauves, Cigognes blanches: Les espèces d'#oiseaux menacées reviennent grâce à l'obstination de pas…",1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,139,0,0.0,"RT @LeontineCab: On peut même ajouter aujourd'hui que 95% des gens acceptent de bouffer des broyats d'insectes, mais crient à l’infamie si…",1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,57,0,0.0,RT @brunoblum: Pour me soutenir : https://t.co/DYGWI1sdMy,1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,140,0,0.0,"RT @brunoblum: Je serai jugé en correctionnelle le 11 avril au tribunal d'Arras pour deux caricatures de Willy Schraen, président des chass…",1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,140,0,0.0,"RT @PartiAnimaliste: Prins Bernhard, Scombrus… Ces chalutiers géants sont de véritables abattoirs flottants tuant des millions de #poissons…",1601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,140,0,0.0,"RT @AudreyAFournier: Ce qui est scandaleux n’est pas la grève des éboueurs, mais la quantité délirante de déchets qu’on produit. https://t.…",1601
